b,5675.0,1225.0, u, g, m, v,125.0, t, t,4, t, g,200,0, positive
a,2458.0,67.0, u, g, aa, h,175.0, t, f,0, f, g,400,0, negative
b,3483.0,25.0, y, p, w, v,3.0, f, f,0, f, s,200,0, negative
a,3858.0,5.0, u, g, cc, v,135.0, t, f,0, t, g,980,0, negative
b,23.0,625.0, y, p, aa, v,125.0, t, f,0, f, g,180,1, negative
a,36.0,1.0, u, g, c, v,2.0, t, t,11, f, g,0,456, positive
b,2408.0,9.0, u, g, aa, v,25.0, f, f,0, t, g,0,0, negative
b,3517.0,25.0, u, g, k, v,45.0, t, t,7, f, g,150,1270, positive
b,3125.0,1125.0, u, g, ff, ff,0.0, f, t,1, f, g,96,19, negative
a,2358.0,585.0, y, p, ff, ff,125.0, f, f,0, f, g,120,87, negative
a,5683.0,425.0, y, p, ff, ff,5.0, f, f,0, t, g,0,4, negative
b,2725.0,1585.0, u, g, cc, h,1835.0, t, t,12, t, g,583,713, positive
b,4058.0,5.0, u, g, c, v,5.0, t, t,7, f, g,0,3065, positive
b,1808.0,55.0, u, g, k, v,5.0, t, f,0, f, g,80,0, positive
b,45.0,85.0, u, g, cc, h,14.0, t, t,1, t, g,88,2000, positive
a,4433.0,0.0, u, g, c, v,25.0, t, f,0, f, g,0,0, positive
