a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,3417.0,275.0, u, g, i, bb,25.0, f, f,0, t, g,232,200, negative
b,2925.0,13.0, u, g, d, h,5.0, f, f,0, f, g,228,0, negative
a,2733.0,1665.0, u, g, ff, ff,0.0, f, f,0, f, g,340,1, negative
a,5008.0,1254.0, u, g, aa, v,229.0, t, t,3, t, g,156,0, positive
a,1631.0,796.0, y, g, c, v,0.0, t, t,2, f, g,0,1425, positive
a,2408.0,5.0, u, g, q, h,125.0, t, t,1, f, g,0,678, positive
a,4775.0,8.0, u, g, c, v,7875.0, t, t,6, t, g,0,1260, positive
b,19.0,0.0, y, p, ff, ff,0.0, f, t,4, f, g,45,1, negative
a,295.0,46.0, u, g, k, v,54.0, t, t,4, f, g,380,500, positive
a,2725.0,29.0, u, g, m, h,125.0, f, t,1, t, g,272,108, negative
b,2075.0,5085.0, y, p, j, v,29.0, f, f,0, f, g,140,184, negative
b,44.0,2.0, u, g, m, v,175.0, t, t,2, t, g,0,15, positive
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,5433.0,675.0, u, g, c, h,2625.0, t, t,11, t, g,0,284, positive
b,2567.0,221.0, y, p, aa, v,4.0, t, f,0, f, g,188,0, negative
b,245.0,13335.0, y, p, aa, v,4.0, f, f,0, t, g,120,475, negative
b,2858.0,3625.0, u, g, aa, v,25.0, f, f,0, t, g,100,0, negative
b,5392.0,9625.0, u, g, e, v,8665.0, t, t,5, f, g,0,0, positive
a,4433.0,0.0, u, g, c, v,25.0, t, f,0, f, g,0,0, positive
b,6333.0,54.0, u, g, c, v,585.0, t, t,3, t, g,180,0, negative
b,2867.0,9335.0, u, g, q, h,5665.0, t, t,6, f, g,381,168, positive
a,2358.0,115.0, y, p, k, h,3.0, f, f,0, t, g,20,16, negative
b,56.0,125.0, u, g, k, h,8.0, t, f,0, t, g,24,2028, positive
a,2725.0,29.0, u, g, m, h,125.0, f, t,1, t, g,272,108, negative
a,4775.0,8.0, u, g, c, v,7875.0, t, t,6, t, g,0,1260, positive
a,3192.0,3125.0, u, g, ff, ff,304.0, f, t,2, t, g,200,4, negative
b,2233.0,11.0, u, g, w, v,2.0, t, t,1, f, g,80,278, positive
b,4275.0,3.0, u, g, i, bb,1.0, t, f,0, f, g,0,200, negative
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
b,2925.0,13.0, u, g, d, h,5.0, f, f,0, f, g,228,0, negative
a,2175.0,1175.0, u, g, c, v,25.0, f, f,0, t, g,180,0, negative
b,25.0,125.0, u, g, aa, v,3.0, t, f,0, t, s,20,0, positive
a,2958.0,175.0, y, p, k, v,125.0, f, f,0, t, g,280,0, negative
b,1742.0,65.0, u, g, i, v,125.0, f, f,0, f, g,60,100, negative
b,3167.0,83.0, u, g, x, v,1335.0, t, t,8, t, g,303,3290, positive
b,42.0,979.0, u, g, x, h,796.0, t, t,8, f, g,0,0, positive
a,2042.0,835.0, u, g, q, v,1585.0, t, t,1, f, g,0,0, positive
a,4608.0,3.0, u, g, c, v,2375.0, t, t,8, t, g,396,4159, positive
b,2267.0,165.0, u, g, c, j,225.0, f, f,0, t, s,0,0, positive
b,3667.0,2.0, u, g, i, v,25.0, f, f,0, t, g,221,0, negative
a,3067.0,12.0, u, g, c, v,2.0, t, t,1, f, g,220,19, positive
b,2725.0,625.0, u, g, aa, v,455.0, t, f,0, t, g,200,0, negative
a,2125.0,2335.0, u, g, i, bb,5.0, t, t,4, f, s,80,0, positive
b,4425.0,5.0, u, g, m, v,1075.0, t, f,0, f, s,400,0, negative
a,225.0,846.0, y, p, x, v,246.0, f, f,0, f, g,164,0, positive
b,2267.0,1585.0, y, p, w, v,3085.0, t, t,6, f, g,80,0, positive
b,2775.0,129.0, u, g, k, h,25.0, f, f,0, t, s,140,0, negative
b,2567.0,29.0, y, p, c, v,15.0, f, f,0, t, g,160,0, negative
b,1708.0,25.0, u, g, q, v,335.0, f, t,4, f, g,160,8, negative
a,2867.0,104.0, u, g, c, v,25.0, t, t,5, t, g,300,1430, positive
a,295.0,1085.0, y, p, x, v,1.0, f, f,0, f, g,280,13, negative
b,1222.0,4143.0, u, p, x, v,0.0, t, t,0, t, g,50,1896, positive
b,42.0,979.0, u, g, x, h,796.0, t, t,8, f, g,0,0, positive
b,3617.0,42.0, y, p, w, v,29.0, f, f,0, t, g,309,2, negative
b,2725.0,1585.0, u, g, cc, h,1835.0, t, t,12, t, g,583,713, positive
b,5967.0,154.0, u, g, q, v,125.0, t, f,0, t, g,260,0, positive
b,3492.0,25.0, u, g, w, v,0.0, t, f,0, t, g,239,200, positive
b,2633.0,13.0, u, g, e, dd,0.0, f, f,0, t, g,140,1110, negative
b,2617.0,835.0, u, g, cc, v,1165.0, f, f,0, f, g,100,0, negative
b,2958.0,475.0, u, g, m, v,2.0, f, t,1, t, g,460,68, negative
b,3908.0,6.0, u, g, m, v,129.0, t, t,5, t, g,108,1097, positive
a,1442.0,999.0, y, g, ff, o,0.0, t, t,3, t, g,0,4023, positive
b,3992.0,54.0, y, p, aa, v,5.0, t, t,3, f, g,200,1000, positive
b,4808.0,604.0, u, g, k, v,4.0, f, f,0, f, g,0,2690, positive
a,2008.0,125.0, u, g, c, v,0.0, f, f,0, f, g,0,0, negative
b,2325.0,12625.0, u, g, c, v,125.0, f, t,2, f, g,0,5552, negative
b,245.0,13335.0, y, p, aa, v,4.0, f, f,0, t, g,120,475, negative
b,2825.0,5125.0, u, g, x, v,475.0, t, t,2, f, g,420,7, positive
a,2817.0,375.0, u, g, q, v,585.0, t, t,4, f, g,80,0, positive
b,3675.0,125.0, y, p, c, v,15.0, f, f,0, t, g,232,113, positive
b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
a,4133.0,1.0, u, g, i, bb,225.0, t, f,0, t, g,0,300, positive
b,2783.0,154.0, u, g, w, v,375.0, t, t,5, t, g,100,3, positive
b,20.0,7.0, u, g, c, v,5.0, f, f,0, f, g,0,0, negative
b,56.0,125.0, u, g, k, h,8.0, t, f,0, t, g,24,2028, positive
b,2942.0,125.0, u, g, w, v,175.0, f, f,0, f, g,200,0, negative
b,7342.0,1775.0, u, g, ff, ff,0.0, t, f,0, t, g,0,0, positive
a,46.0,4.0, u, g, j, j,0.0, t, f,0, f, g,100,960, positive
b,4917.0,229.0, u, g, ff, ff,29.0, f, f,0, f, g,200,3, negative
a,1883.0,4415.0, y, p, c, h,3.0, t, f,0, f, g,240,0, positive
b,6275.0,7.0, u, g, e, z,0.0, f, f,0, f, g,0,12, negative
b,1942.0,725.0, u, g, m, v,4.0, f, t,1, f, g,100,1, negative
a,2283.0,229.0, u, g, q, h,229.0, t, t,7, t, g,140,2384, positive
b,2258.0,15.0, y, p, aa, v,54.0, f, f,0, t, g,120,67, negative
b,3183.0,4.0, y, p, m, v,4.0, f, f,0, f, g,0,0, negative
b,3183.0,25.0, u, g, aa, v,75.0, t, f,0, t, g,523,0, negative
b,2917.0,35.0, u, g, w, v,35.0, t, t,3, t, g,329,0, negative
b,3288.0,1978.0, l, g, k, v,0.0, t, f,0, t, g,0,0, positive
b,2825.0,5125.0, u, g, x, v,475.0, t, t,2, f, g,420,7, positive
b,4825.0,25085.0, u, g, w, v,175.0, t, t,3, f, g,120,14, positive
b,4133.0,0.0, u, g, c, bb,15.0, t, f,0, f, g,0,0, positive
b,2725.0,1665.0, u, g, cc, h,5085.0, t, t,9, f, g,399,827, positive
b,1366.0,0.0, u, g, c, h,0.0, t, t,7, t, g,71,0, positive
b,2317.0,0.0, u, g, cc, v,85.0, t, f,0, f, g,0,0, positive
b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
b,2983.0,35.0, u, g, c, v,165.0, f, f,0, f, g,216,0, negative
a,2733.0,1665.0, u, g, ff, ff,0.0, f, f,0, f, g,340,1, negative
b,1625.0,835.0, u, g, m, v,85.0, t, f,0, f, s,200,0, negative
b,2233.0,11.0, u, g, w, v,2.0, t, t,1, f, g,80,278, positive
b,2208.0,11.0, u, g, cc, v,665.0, t, f,0, f, g,100,0, positive
a,285.0,304.0, y, p, x, h,254.0, t, t,1, f, g,70,0, positive
b,39.0,5.0, u, g, cc, v,35.0, t, t,10, t, g,0,0, positive
a,1882.0,7777.0, u, p, m, h,0.0, t, f,0, t, g,0,14399, positive
a,2778.0,1492.0, u, g, k, o,0.0, t, f,0, f, g,0,1901, positive
b,3742.0,204.0, u, g, w, v,4.0, t, f,0, t, g,400,5800, positive
b,4817.0,35.0, u, g, aa, v,35.0, t, f,0, f, s,230,0, positive
b,2825.0,875.0, u, g, m, v,96.0, t, t,3, t, g,396,0, positive
b,3017.0,65.0, u, g, cc, v,3125.0, t, t,8, f, g,330,1200, positive
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
b,2775.0,585.0, y, p, cc, v,25.0, t, t,2, f, g,260,500, positive
b,43.0,29.0, y, p, cc, h,175.0, t, t,8, f, g,100,375, positive
b,3317.0,304.0, y, p, c, h,204.0, t, t,1, t, g,180,18027, positive
b,2292.0,3165.0, y, p, c, v,165.0, f, f,0, f, g,160,1058, negative
a,2858.0,354.0, u, g, i, bb,5.0, t, f,0, t, g,171,0, negative
b,2208.0,1146.0, u, g, k, v,1585.0, f, f,0, t, g,100,1212, negative
a,2958.0,175.0, y, p, k, v,125.0, f, f,0, t, g,280,0, negative
b,23.0,75.0, u, g, m, v,5.0, f, f,0, t, s,320,0, negative
b,2617.0,25.0, u, g, i, bb,0.0, t, f,0, t, g,0,0, positive
a,2517.0,2875.0, u, g, x, h,875.0, t, f,0, f, g,360,0, positive
b,2667.0,425.0, u, g, cc, v,429.0, t, t,1, t, g,120,0, positive
b,2108.0,4125.0, y, p, i, h,4.0, f, f,0, f, g,140,100, negative
b,4783.0,4165.0, u, g, x, bb,85.0, f, f,0, t, g,520,0, negative
b,6542.0,11.0, u, g, e, z,20.0, t, t,7, t, g,22,0, positive
b,2342.0,1.0, u, g, c, v,5.0, f, f,0, t, s,280,0, negative
a,1895.0,515.0, u, g, cc, h,0.0, t, f,1, f, g,111,0, positive
b,2625.0,154.0, u, g, w, v,125.0, f, f,0, f, g,100,0, negative
b,2667.0,425.0, u, g, cc, v,429.0, t, t,1, t, g,120,0, positive
b,345.0,404.0, y, p, i, bb,85.0, t, t,7, t, g,195,0, positive
a,5575.0,708.0, u, g, k, h,675.0, t, t,3, t, g,100,50, negative
a,3892.0,1665.0, u, g, aa, v,25.0, f, f,0, f, g,0,390, negative
b,5352.0,1214.0, u, g, m, h,92.0, t, f,0, f, g,0,0, positive
b,2208.0,11.0, u, g, cc, v,665.0, t, f,0, f, g,100,0, positive
a,2267.0,7.0, u, g, c, v,165.0, f, f,0, f, g,160,0, negative
b,1692.0,335.0, y, p, k, v,29.0, f, f,0, f, s,200,0, negative
b,1708.0,25.0, u, g, q, v,335.0, f, t,4, f, g,160,8, negative
b,2267.0,75.0, u, g, i, v,1585.0, f, t,1, t, g,400,9, negative
a,2167.0,115.0, y, p, j, j,0.0, t, t,11, t, g,0,0, positive
a,5833.0,10.0, u, g, q, v,4.0, t, t,14, f, g,0,1602, positive
b,3267.0,55.0, u, g, q, h,55.0, t, t,12, t, g,408,1000, positive
b,25.0,1125.0, u, g, c, v,25.0, t, t,17, f, g,200,1208, positive
a,3125.0,375.0, u, g, cc, h,625.0, t, t,9, t, g,181,0, positive
b,4875.0,26335.0, y, p, ff, ff,0.0, t, f,0, t, g,0,0, negative
b,3158.0,75.0, y, p, aa, v,35.0, f, f,0, t, g,320,0, negative
b,18.0,165.0, u, g, q, n,21.0, f, f,0, f, g,200,40, positive
b,2389.0,339.0, u, g, w, h,0.0, t, t,0, t, g,0,0, positive
b,3033.0,5.0, u, g, d, h,85.0, f, f,0, t, s,252,0, negative
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
a,3233.0,54.0, u, g, cc, v,4.0, t, f,0, f, g,440,11177, positive
b,3958.0,13915.0, u, g, w, v,8625.0, t, t,6, t, g,70,0, positive
b,25.0,125.0, u, g, aa, v,3.0, t, f,0, t, s,20,0, positive
b,335.0,175.0, u, g, x, h,45.0, t, t,4, t, g,253,857, positive
a,1967.0,21.0, u, g, q, h,29.0, t, t,11, f, g,80,99, positive
a,2858.0,375.0, u, g, c, v,25.0, f, t,1, t, g,40,154, negative
b,4175.0,96.0, u, g, x, v,25.0, t, f,0, f, g,510,600, positive
b,4817.0,7625.0, u, g, w, h,155.0, t, t,12, f, g,0,790, positive
b,2892.0,15.0, u, g, c, h,5335.0, t, t,11, f, g,0,2283, positive
a,3875.0,15.0, u, g, ff, ff,0.0, f, f,0, f, g,76,0, negative
b,3233.0,25.0, u, g, c, v,125.0, f, f,0, t, g,280,0, negative
a,5333.0,165.0, u, g, ff, ff,0.0, f, f,0, t, s,62,27, negative
a,1883.0,954.0, u, g, aa, v,85.0, t, f,0, f, g,100,0, positive
b,3167.0,16165.0, u, g, d, v,3.0, t, t,9, f, g,250,730, positive
b,2767.0,1375.0, u, g, w, v,575.0, t, f,0, t, g,487,500, positive
b,3267.0,55.0, u, g, q, h,55.0, t, t,12, t, g,408,1000, positive
b,4858.0,65.0, u, g, q, h,6.0, t, f,0, t, g,350,0, positive
b,2783.0,15.0, u, g, w, v,225.0, f, t,1, t, g,100,3, negative
a,3058.0,10665.0, u, g, q, h,85.0, f, t,12, t, g,129,3, negative
a,2258.0,1075.0, u, g, q, v,415.0, t, t,5, t, g,0,560, positive
b,2067.0,835.0, y, p, c, v,2.0, f, f,0, t, s,240,0, negative
a,2397.0,385.0, u, g, cc, bb,229.0, t, f,5, t, g,0,19, positive
b,395.0,1625.0, u, g, c, v,15.0, f, f,0, f, g,0,316, negative
b,2983.0,35.0, u, g, c, v,165.0, f, f,0, f, g,216,0, negative
a,2167.0,115.0, y, p, j, j,0.0, t, t,11, t, g,0,0, positive
b,3125.0,2835.0, u, g, ff, ff,0.0, f, t,5, f, g,176,146, negative
b,2667.0,271.0, y, p, cc, v,525.0, t, t,1, f, g,211,0, positive
b,595.0,275.0, u, g, w, v,175.0, t, t,5, t, g,60,58, positive
b,2875.0,15.0, y, p, c, v,15.0, t, f,0, t, g,0,225, negative
a,5833.0,10.0, u, g, q, v,4.0, t, t,14, f, g,0,1602, positive
b,5858.0,271.0, u, g, c, v,2415.0, f, f,0, t, g,320,0, negative
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
a,2267.0,75.0, u, g, c, v,2.0, f, t,2, t, g,200,394, negative
a,2658.0,254.0, y, p, ff, ff,0.0, f, f,0, t, g,180,60, negative
a,1892.0,925.0, y, p, c, v,1.0, t, t,4, t, g,80,500, positive
a,565.0,16.0, u, g, j, ff,0.0, t, t,15, f, g,0,247, positive
a,2075.0,954.0, u, g, i, v,4.0, f, f,0, f, g,200,1000, negative
b,2725.0,625.0, u, g, aa, v,455.0, t, f,0, t, g,200,0, negative
a,18.0,1194.0, y, p, c, bb,0.0, t, t,3, t, g,245,489, positive
b,3242.0,2165.0, y, p, k, ff,0.0, f, f,0, f, g,120,0, negative
a,1883.0,4415.0, y, p, c, h,3.0, t, f,0, f, g,240,0, positive
b,27.0,15.0, y, p, w, v,375.0, t, f,0, t, g,260,1065, positive
b,5458.0,9415.0, u, g, ff, ff,14415.0, t, t,11, t, g,30,300, positive
b,21.0,479.0, y, p, w, v,225.0, t, t,1, t, g,80,300, positive
b,3158.0,75.0, y, p, aa, v,35.0, f, f,0, t, g,320,0, negative
b,23.0,625.0, y, p, aa, v,125.0, t, f,0, f, g,180,1, negative
b,3183.0,25.0, u, g, aa, v,75.0, t, f,0, t, g,523,0, negative
b,1708.0,329.0, u, g, i, v,335.0, f, f,0, t, g,140,2, negative
b,1625.0,835.0, u, g, m, v,85.0, t, f,0, f, s,200,0, negative
b,20.0,125.0, y, p, k, v,125.0, f, f,0, f, g,140,4, negative
a,5008.0,1254.0, u, g, aa, v,229.0, t, t,3, t, g,156,0, positive
b,3992.0,54.0, y, p, aa, v,5.0, t, t,3, f, g,200,1000, positive
b,255.0,375.0, u, g, m, v,25.0, t, t,3, f, g,260,15108, positive
b,3367.0,125.0, u, g, w, v,1165.0, f, f,0, f, g,120,0, negative
b,2192.0,54.0, y, p, x, v,4.0, t, t,1, t, g,840,59, positive
a,25.0,875.0, u, g, x, h,104.0, t, f,0, t, g,160,5860, positive
a,2808.0,15.0, y, p, e, z,0.0, t, f,0, f, g,0,13212, positive
b,3475.0,15.0, u, g, r, n,5375.0, t, t,9, t, g,0,134, positive
a,2375.0,71.0, u, g, w, v,25.0, f, t,1, t, g,240,4, negative
a,245.0,104.0, y, p, ff, ff,5.0, t, t,3, f, g,180,147, negative
b,2767.0,1375.0, u, g, w, v,575.0, t, f,0, t, g,487,500, positive
b,1883.0,354.0, y, p, ff, ff,0.0, f, f,0, t, g,180,1, negative
a,2175.0,175.0, y, p, j, j,0.0, f, f,0, f, g,160,0, negative
b,2458.0,125.0, u, g, w, v,875.0, t, f,0, t, g,260,0, negative
b,3408.0,25.0, u, g, c, v,1.0, f, f,0, f, g,460,16, negative
b,3358.0,335.0, y, p, cc, v,85.0, f, f,0, f, g,180,0, negative
b,2675.0,2.0, u, g, d, v,75.0, f, f,0, t, g,80,0, negative
b,2358.0,46.0, y, p, w, v,2625.0, t, t,6, t, g,208,347, negative
b,3617.0,42.0, y, p, w, v,29.0, f, f,0, t, g,309,2, negative
b,225.0,125.0, y, p, k, v,125.0, f, f,0, f, g,200,70, negative
b,3225.0,14.0, y, p, ff, ff,0.0, f, t,2, f, g,160,1, negative
b,1222.0,4143.0, u, p, x, v,0.0, t, t,0, t, g,50,1896, positive
b,1708.0,329.0, u, g, i, v,335.0, f, f,0, t, g,140,2, negative
a,225.0,415.0, u, g, i, v,335.0, f, f,0, t, s,144,0, negative
b,3575.0,2415.0, u, g, w, v,125.0, f, t,2, f, g,220,1, negative
b,3717.0,4.0, u, g, c, bb,5.0, t, f,0, t, s,280,0, negative
a,5283.0,15.0, u, g, c, v,55.0, t, t,14, f, g,0,2200, positive
b,3233.0,35.0, u, g, k, v,5.0, f, f,0, t, g,232,0, negative
b,3367.0,125.0, u, g, w, v,1165.0, f, f,0, f, g,120,0, negative
a,1858.0,10.0, u, g, d, v,415.0, f, f,0, f, g,80,42, negative
b,195.0,29.0, u, g, k, v,29.0, f, f,0, f, g,280,364, negative
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
b,2017.0,925.0, u, g, c, v,1665.0, t, t,3, t, g,40,28, positive
b,2042.0,1835.0, u, g, c, v,225.0, t, t,1, f, g,100,150, positive
b,18.0,0.0, y, g, d, v,0.0, f, f,3, f, s,0,2573, positive
b,5142.0,4.0, u, g, x, h,4.0, t, f,0, f, g,0,3000, positive
a,1758.0,9.0, u, g, aa, v,1375.0, t, f,0, t, g,0,0, positive
b,2725.0,625.0, u, g, aa, v,455.0, t, f,0, t, g,200,0, negative
a,3775.0,55.0, u, g, q, v,125.0, t, f,0, t, g,228,0, positive
a,2108.0,5.0, y, p, ff, ff,0.0, f, f,0, f, g,0,0, negative
a,2267.0,79.0, u, g, i, v,85.0, f, f,0, f, g,144,0, negative
b,365.0,425.0, u, g, q, v,35.0, f, f,0, f, g,454,50, negative
b,3317.0,1.0, u, g, x, v,75.0, t, t,7, t, g,340,4071, positive
b,4058.0,15.0, u, g, i, bb,0.0, f, f,0, f, s,300,0, negative
b,205.0,2415.0, u, g, c, v,2.0, t, t,11, t, g,200,3000, positive
b,5483.0,155.0, u, g, e, z,0.0, t, t,20, f, g,152,130, negative
