a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
a,45.0,4585.0, u, g, k, h,1.0, f, f,0, t, s,240,0, negative
b,6408.0,20.0, u, g, x, h,175.0, t, t,9, t, g,0,1000, positive
a,3025.0,55.0, u, g, k, v,55.0, f, f,0, t, s,100,0, negative
b,2775.0,129.0, u, g, k, h,25.0, f, f,0, t, s,140,0, negative
a,3775.0,55.0, u, g, q, v,125.0, t, f,0, t, g,228,0, positive
b,23.0,625.0, y, p, aa, v,125.0, t, f,0, f, g,180,1, negative
b,3617.0,55.0, u, g, i, bb,5.0, f, f,0, f, g,210,687, negative
b,2758.0,325.0, y, p, q, h,5085.0, f, t,2, t, g,369,1, negative
b,21.0,479.0, y, p, w, v,225.0, t, t,1, t, g,80,300, positive
a,245.0,2415.0, y, p, c, v,0.0, f, f,0, f, g,120,0, negative
a,23.0,1835.0, u, g, j, j,0.0, f, t,1, f, g,200,53, negative
b,4133.0,0.0, u, g, c, bb,15.0, t, f,0, f, g,0,0, positive
b,2967.0,75.0, y, p, c, v,4.0, f, f,0, f, g,240,0, negative
a,3775.0,55.0, u, g, q, v,125.0, t, f,0, t, g,228,0, positive
a,5708.0,195.0, u, g, c, v,55.0, t, t,7, f, g,0,3000, positive
