b,1825.0,165.0, u, g, d, v,25.0, f, f,0, t, s,280,0, negative
b,3408.0,25.0, u, g, c, v,1.0, f, f,0, f, g,460,16, negative
b,3517.0,45.0, u, g, x, h,575.0, f, f,0, t, s,711,0, positive
b,4483.0,7.0, y, p, c, v,1625.0, f, f,0, f, g,160,2, negative
b,42.0,979.0, u, g, x, h,796.0, t, t,8, f, g,0,0, positive
b,3958.0,5.0, u, g, ff, ff,0.0, f, t,2, f, g,17,1, negative
b,2225.0,46.0, u, g, k, v,125.0, f, f,0, t, g,280,55, negative
b,25.0,125.0, u, g, aa, v,3.0, t, f,0, t, s,20,0, positive
b,6775.0,55.0, u, g, e, z,13.0, t, t,1, t, g,0,0, positive
b,2042.0,7.0, u, g, c, v,1625.0, t, t,3, f, g,200,1391, positive
b,2342.0,1.0, u, g, c, v,5.0, f, f,0, t, s,280,0, negative
a,1448.0,1129.0, y, p, q, h,0.0, t, f,0, f, g,0,669, positive
a,32.0,6.0, u, g, d, v,125.0, f, f,0, f, g,272,0, negative
b,3358.0,335.0, y, p, cc, v,85.0, f, f,0, f, g,180,0, negative
a,205.0,11835.0, u, g, c, h,6.0, t, f,0, f, g,340,0, positive
a,1883.0,954.0, u, g, aa, v,85.0, t, f,0, f, g,100,0, positive
