b,345.0,404.0, y, p, i, bb,85.0, t, t,7, t, g,195,0, positive
b,4158.0,175.0, u, g, k, v,21.0, t, f,0, f, g,160,0, negative
b,4158.0,175.0, u, g, k, v,21.0, t, f,0, f, g,160,0, negative
b,4817.0,7625.0, u, g, w, h,155.0, t, t,12, f, g,0,790, positive
b,2208.0,1146.0, u, g, k, v,1585.0, f, f,0, t, g,100,1212, negative
b,2128.0,1166.0, u, g, w, v,0.0, t, f,0, f, p,388,2313, positive
b,4117.0,1335.0, u, g, d, v,165.0, f, f,0, f, g,168,0, negative
a,2267.0,75.0, u, g, c, v,2.0, f, t,2, t, g,200,394, negative
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,3425.0,175.0, u, g, w, bb,25.0, t, f,0, t, g,163,0, negative
b,3417.0,154.0, u, g, cc, v,154.0, t, t,1, t, g,520,50000, positive
a,2758.0,3.0, u, g, m, v,279.0, f, t,1, t, g,280,10, negative
b,3667.0,2.0, u, g, i, v,25.0, f, f,0, t, g,221,0, negative
b,1808.0,675.0, y, p, m, v,4.0, f, f,0, f, g,140,0, negative
b,3958.0,13915.0, u, g, w, v,8625.0, t, t,6, t, g,70,0, positive
b,32.0,175.0, y, p, e, h,4.0, t, f,0, t, g,393,0, positive
