113.0, mazda, gas, std, four, sedan, fwd, front,93.1,166.8,64.2,54.1,1950.0, ohc, four,91.0, 2bbl, 3.08, 3.15,9.0, 68.0, 5000.0,31.0,38.0, 7395.0,1
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2935.0, ohc, four,130.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,24.0,28.0, 18420.0,-2
154.0, plymouth, gas, std, four, sedan, fwd, front,93.7,167.3,63.8,50.8,2191.0, ohc, four,98.0, 2bbl, 2.97, 3.23,9.4, 68.0, 5500.0,31.0,38.0, 7609.0,1
104.0, dodge, gas, std, two, sedan, fwd, front,93.4,157.1,64.0,50.7,1837.0, ohc, four,82.0, 2bbl, 2.91, 3.4,8.33, 175.0, 5400.0,30.0,29.0, 8189.0,1
113.0, mazda, gas, std, four, sedan, fwd, front,93.1,166.8,64.2,54.1,1950.0, ohc, four,91.0, 2bbl, 3.08, 3.15,9.0, 68.0, 5000.0,31.0,38.0, 7395.0,1
65.0, toyota, gas, std, four, sedan, fwd, front,96.3,188.8,68.7,54.3,3770.0, ohc, six,160.0, idi, 3.27, 3.64,9.2, 155.0, 5200.0,19.0,27.0, 19045.0,-1
?, alfa-romero, gas, std, two, hatchback, rwd, front,94.5,171.2,65.5,52.4,2823.0, ohcv, six,152.0, mpfi, 2.68, 3.47,9.0, 154.0, 5000.0,19.0,26.0, 16500.0,1
150.0, mitsubishi, gas, std, two, hatchback, rwd, rear,96.0,169.4,66.3,50.9,3588.0, rotor, six,130.0, mpfi, 3.58,?,8.6, 110.0, 6000.0,18.0,20.0, 11850.0,3
93.0, toyota, gas, std, four, hatchback, fwd, front,101.4,182.8,66.3,53.8,3770.0, ohc, four,211.0, mpfi, 3.35, 3.64,7.5, 123.0, 4200.0,30.0,22.0, 8921.0,-1
125.0, isuzu, gas, std, two, sedan, fwd, front,93.0,161.9,72.3,53.8,1897.0, ohc, four,79.0, mpfi, 3.35, 3.58,9.93, 140.0, 5000.0,24.0,27.0, 7099.0,1
150.0, saab, gas, std, two, hatchback, fwd, front,99.1,186.6,66.5,56.1,2658.0, ohc, four,121.0, mpfi, 3.54, 3.07,9.31, 110.0, 5250.0,21.0,28.0, 11850.0,3
161.0, mitsubishi, gas, std, two, hatchback, fwd, front,93.7,157.3,64.4,50.8,2004.0, ohc, four,92.0, 2bbl, 2.97, 3.23,9.4, 68.0, 5500.0,31.0,38.0, 6669.0,2
158.0, audi, gas, turbo, four, sedan, fwd, front,105.8,192.7,71.4,55.9,3086.0, ohc, five,131.0, mpfi, 3.13, 3.4,8.3, 140.0, 5500.0,17.0,20.0, 23875.0,1
?, isuzu, gas, std, two, sedan, fwd, front,94.5,155.9,63.6,52.0,1874.0, ohc, four,90.0, 2bbl, 3.03, 3.11,9.6, 70.0, 5400.0,38.0,43.0,?,1
122.0, subaru, gas, std, four, sedan, 4wd, front,92.5,183.9,65.9,56.1,2266.0, ohc, four,110.0, mpfi, 3.62, 3.4,9.4, 115.0, 5500.0,20.0,54.0, 16430.0,2
134.0, toyota, gas, std, two, hatchback, rwd, front,98.4,176.2,65.6,52.0,2714.0, ohc, four,146.0, mpfi, 3.62, 3.5,9.3, 116.0, 4800.0,24.0,30.0, 11549.0,2
150.0, mitsubishi, gas, turbo, two, convertible, rwd, front,101.4,169.9,68.2,48.8,3166.0, ohc, four,234.0, spdi,?, 3.86,9.23, 145.0, 5000.0,21.0,19.0, 13645.0,3
197.0, mitsubishi, gas, std, two, convertible, fwd, front,93.7,166.5,69.8,52.6,3371.0, ohcf, two,234.0, mpfi, 3.27, 2.9,9.12, 101.0, 5500.0,19.0,23.0, 37028.0,3
197.0, toyota, gas, std, two, hatchback, rwd, front,102.9,183.5,67.7,52.0,3016.0, dohc, six,171.0, mpfi, 3.27, 3.35,9.3, 161.0, 5200.0,19.0,24.0, 15998.0,3
?, mercury, gas, turbo, two, hatchback, rwd, front,102.7,178.4,68.0,54.8,2910.0, ohc, four,140.0, mpfi, 3.78, 3.12,8.0, 175.0, 5000.0,19.0,24.0, 16503.0,1
91.0, toyota, diesel, std, four, sedan, fwd, front,95.7,166.3,64.4,53.0,2275.0, ohc, four,110.0, idi, 3.27, 3.35,22.5, 56.0, 4500.0,34.0,36.0, 7898.0,0
150.0, saab, gas, std, two, hatchback, rwd, front,102.9,166.9,67.0,48.8,2710.0, dohc, six,178.0, mpfi, 3.46,?,7.83, 160.0, 5500.0,20.0,28.0, 13495.0,3
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2946.0, ohc, four,130.0, mpfi, 3.78, 3.15,7.5, 114.0, 5400.0,19.0,22.0, 15985.0,-2
168.0, mitsubishi, gas, std, two, hatchback, fwd, front,86.6,186.6,66.6,54.5,1913.0, ohc, four,134.0, 2bbl, 3.46, 2.36,8.3, 68.0, 4800.0,18.0,37.0, 7975.0,2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,141.0, mpfi, 3.78, 3.15,8.5, 114.0, 5100.0,24.0,28.0, 18420.0,-2
106.0, honda, gas, std, two, hatchback, fwd, front,96.5,167.5,65.2,53.3,2289.0, ohc, four,110.0, 1bbl, 3.15, 3.58,9.0, 86.0, 5800.0,27.0,33.0, 9095.0,0
150.0, alfa-romero, gas, std, two, convertible, rwd, front,102.9,175.2,64.0,51.4,2757.0, ohcf, two,171.0, mpfi, 3.74,?,9.5, 110.0, 5500.0,24.0,19.0, 34028.0,3
?, peugot, gas, std, four, wagon, rwd, front,114.2,198.9,68.4,56.7,3285.0, l, four,120.0, mpfi, 3.46, 2.19,8.4, 95.0, 5000.0,19.0,24.0, 16695.0,0
93.0, mercedes-benz, diesel, turbo, two, hardtop, rwd, front,106.7,187.5,70.3,54.9,3495.0, ohc, five,183.0, idi, 3.58, 3.64,21.5, 123.0, 4350.0,22.0,25.0, 28176.0,0
95.0, volvo, gas, std, four, wagon, rwd, front,115.3,174.5,64.6,51.6,2326.0, ohc, six,182.0, 2bbl, 3.35, 3.4,8.5, 92.0, 4350.0,16.0,26.0, 34184.0,-1
121.0, nissan, gas, std, two, sedan, fwd, front,100.0,186.6,65.1,52.3,1988.0, ohc, four,80.0, mpfi, 3.62, 3.07,10.6, 69.0, 5250.0,24.0,29.0, 7775.0,2
122.0, nissan, gas, std, four, sedan, fwd, front,94.5,165.3,63.8,54.5,1938.0, ohc, four,97.0, 2bbl, 3.15, 3.29,9.4, 69.0, 5200.0,31.0,37.0, 6849.0,1
65.0, toyota, diesel, turbo, four, sedan, fwd, front,102.4,175.6,66.5,54.9,2480.0, ohc, four,110.0, idi, 3.27, 3.35,22.5, 73.0, 4500.0,30.0,33.0, 10698.0,-1
95.0, volvo, gas, std, four, sedan, rwd, front,98.0,180.6,64.6,59.8,2326.0, dohc, four,110.0, 2bbl, 3.78, 3.35,15.0, 123.0, 5400.0,17.0,24.0, 21485.0,-1
83.0, renault, gas, std, four, sedan, fwd, front,97.0,186.6,66.6,56.1,1899.0, ohc, four,86.0, mpfi, 3.62, 3.5,10.0, 52.0, 5100.0,39.0,37.0, 11199.0,2
256.0, saab, gas, std, two, hatchback, fwd, front,97.8,172.3,70.1,50.8,2518.0, dohc, four,126.0, mpfi, 3.19, 3.35,8.1, 90.0, 5900.0,21.0,23.0, 14489.0,3
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2912.0, ohc, four,141.0, mpfi, 3.78, 3.15,7.5, 114.0, 5100.0,24.0,27.0, 18420.0,-2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3009.0, ohc, four,130.0, mpfi, 3.78, 3.15,7.5, 114.0, 5100.0,24.0,26.0, 12940.0,-2
95.0, toyota, gas, std, four, sedan, fwd, front,96.3,172.4,65.5,56.4,2638.0, ohc, four,213.0, idi, 3.78, 3.46,7.5, 114.0, 5400.0,27.0,27.0, 16515.0,-1
106.0, nissan, gas, std, four, sedan, fwd, front,97.2,173.4,65.2,54.7,2302.0, ohc, four,120.0, 2bbl, 3.33, 3.47,8.5, 97.0, 5200.0,27.0,34.0, 9549.0,0
158.0, audi, gas, std, four, sedan, fwd, front,105.8,192.7,71.4,55.7,2844.0, ohc, five,136.0, mpfi, 3.19, 3.4,8.5, 110.0, 5500.0,19.0,25.0, 17710.0,1
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2912.0, ohc, four,134.0, mpfi, 3.78, 3.15,7.9, 162.0, 5400.0,24.0,23.0, 12940.0,-2
?, peugot, gas, std, four, wagon, rwd, front,114.2,198.9,68.4,58.7,3230.0, l, four,120.0, mpfi, 3.46, 3.19,8.4, 97.0, 5000.0,19.0,24.0, 12440.0,0
150.0, saab, gas, turbo, two, hatchback, fwd, front,99.1,186.6,66.5,56.1,2808.0, dohc, four,121.0, mpfi, 3.54, 3.07,9.0, 160.0, 5500.0,19.0,26.0, 18150.0,3
83.0, subaru, gas, std, two, hatchback, 4wd, front,93.3,157.3,63.8,55.7,2240.0, ohcf, four,108.0, 2bbl, 3.62, 2.64,8.7, 73.0, 4400.0,26.0,31.0, 7603.0,2
?, bmw, gas, std, four, sedan, rwd, front,103.5,189.0,66.9,55.7,3055.0, ohc, six,164.0, mpfi, 3.31, 3.19,9.0, 121.0, 4250.0,20.0,25.0, 24565.0,1
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,130.0, mpfi, 3.78, 3.15,8.0, 114.0, 5100.0,21.0,28.0, 15985.0,-2
125.0, mitsubishi, gas, std, four, sedan, fwd, front,96.3,172.4,65.4,51.6,2365.0, ohc, four,122.0, 2bbl, 3.35, 3.46,8.5, 88.0, 5000.0,25.0,32.0, 6989.0,1
103.0, volvo, gas, turbo, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,136.0, mpfi, 3.78, 3.15,7.5, 114.0, 5400.0,22.0,27.0, 15985.0,-2
154.0, plymouth, gas, std, four, sedan, fwd, front,93.7,167.3,63.8,50.8,1989.0, ohc, four,90.0, 2bbl, 2.97, 3.23,9.4, 68.0, 5500.0,31.0,38.0, 6692.0,1
137.0, honda, gas, turbo, four, sedan, fwd, front,97.1,186.6,66.6,56.0,2374.0, ohc, four,86.0, 2bbl, 3.62, 3.4,9.4, 52.0, 5500.0,18.0,37.0, 8495.0,2
