256.0, mitsubishi, gas, std, two, hatchback, fwd, front,102.9,165.6,69.8,48.8,2395.0, ohc, four,234.0, spdi, 3.74, 2.9,9.5, 116.0, 5900.0,16.0,23.0, 14869.0,3
104.0, mazda, gas, std, two, hatchback, fwd, front,93.1,159.1,64.2,54.1,1900.0, ohc, four,91.0, 2bbl, 3.03, 3.15,9.0, 68.0, 5000.0,31.0,38.0, 6095.0,1
118.0, dodge, gas, turbo, two, hatchback, fwd, front,93.7,157.3,63.8,50.8,2128.0, ohc, four,98.0, mpfi, 3.03, 3.39,7.6, 102.0, 5500.0,24.0,30.0, 7957.0,1
81.0, toyota, gas, std, four, wagon, 4wd, front,95.7,169.7,63.6,59.1,2290.0, ohc, four,92.0, 2bbl, 3.05, 3.03,9.0, 62.0, 4800.0,27.0,32.0, 7898.0,0
186.0, mercedes-benz, gas, turbo, two, hatchback, rwd, front,95.0,168.9,68.0,50.2,2873.0, ohcf, four,148.0, spdi, 3.19, 2.68,9.5, 161.0, 5500.0,20.0,21.0, 11845.0,3
95.0, volvo, gas, std, four, wagon, rwd, front,115.3,174.5,64.6,51.6,2326.0, ohc, six,182.0, 2bbl, 3.35, 3.4,8.5, 92.0, 4350.0,16.0,26.0, 34184.0,-1
145.0, jaguar, gas, std, four, sedan, rwd, front,113.0,199.6,69.6,52.8,4066.0, dohc, six,258.0, mpfi, 3.63, 4.17,8.1, 176.0, 4750.0,15.0,19.0, 32250.0,0
74.0, volvo, gas, std, four, wagon, rwd, front,104.3,188.8,67.2,57.5,3034.0, ohc, four,141.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,23.0,28.0, 13415.0,-1
98.0, chevrolet, gas, std, two, hatchback, fwd, front,94.5,155.9,63.6,52.0,1874.0, ohc, four,90.0, 2bbl, 3.03, 3.11,9.6, 70.0, 5400.0,38.0,43.0, 6295.0,1
150.0, mazda, gas, std, two, hatchback, rwd, front,95.3,169.0,65.7,49.6,2500.0, rotor, two,80.0, mpfi,?,?,9.4, 135.0, 6000.0,16.0,23.0, 15645.0,3
74.0, toyota, gas, std, four, hatchback, fwd, front,95.7,158.7,63.6,54.5,2015.0, ohc, four,92.0, 2bbl, 3.05, 3.03,9.0, 62.0, 4800.0,31.0,38.0, 6488.0,1
150.0, mitsubishi, gas, turbo, two, convertible, rwd, front,101.4,169.9,68.2,48.8,3166.0, ohc, four,234.0, spdi,?, 3.86,9.23, 145.0, 5000.0,21.0,19.0, 13645.0,3
197.0, porsche, gas, turbo, two, hatchback, fwd, front,93.6,161.0,70.1,56.1,2794.0, ohcf, four,70.0, mpfi,?,?,9.5, 145.0, 5000.0,25.0,27.0, 15998.0,3
?, toyota, gas, std, four, wagon, fwd, front,113.9,181.4,69.0,59.8,2326.0, ohc, four,110.0, mpfi, 3.01, 3.46,10.7, 114.0, 4500.0,17.0,24.0, 9279.0,-1
102.0, subaru, gas, turbo, four, sedan, 4wd, front,97.0,172.0,65.4,54.3,2510.0, ohcf, four,108.0, mpfi, 3.62, 2.64,7.7, 111.0, 4800.0,24.0,29.0, 11259.0,0
74.0, plymouth, gas, std, four, wagon, fwd, front,103.3,174.6,64.6,59.8,2535.0, ohc, four,122.0, 2bbl, 3.35, 3.46,8.5, 88.0, 5000.0,24.0,30.0, 8921.0,-1
197.0, mitsubishi, gas, std, two, hatchback, rwd, front,102.8,170.0,66.3,51.3,2895.0, dohc, six,234.0, mpfi, 3.35, 2.68,8.11, 145.0, 6000.0,19.0,24.0, 12964.0,3
103.0, volvo, gas, turbo, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3045.0, ohc, four,141.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,24.0,28.0, 18420.0,-2
103.0, volvo, gas, turbo, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3003.0, ohc, four,141.0, mpfi, 3.78, 3.15,8.0, 114.0, 5100.0,24.0,22.0, 15985.0,-2
168.0, toyota, gas, std, two, sedan, rwd, front,94.5,168.7,64.0,52.6,2169.0, ohc, four,98.0, 2bbl, 3.19, 3.03,9.0, 70.0, 4800.0,29.0,34.0, 8058.0,1
65.0, toyota, gas, std, four, sedan, fwd, front,102.4,175.6,66.5,54.9,2414.0, ohc, four,122.0, mpfi, 3.31, 3.54,8.7, 92.0, 4200.0,27.0,32.0, 10898.0,-1
256.0, volkswagen, gas, std, two, hatchback, fwd, front,94.5,165.7,64.0,51.4,2221.0, ohc, four,109.0, mpfi, 3.19, 3.4,8.5, 90.0, 5500.0,24.0,29.0, 9980.0,3
?, plymouth, gas, turbo, two, hatchback, rwd, front,95.9,173.2,66.3,50.2,2818.0, ohc, four,156.0, spdi, 3.59, 3.86,7.0, 145.0, 5000.0,19.0,24.0, 12764.0,3
186.0, porsche, gas, std, two, hatchback, rwd, front,94.5,168.9,68.3,50.2,2778.0, ohc, four,151.0, mpfi, 3.94, 3.11,9.5, 143.0, 5500.0,19.0,27.0, 22018.0,3
107.0, honda, gas, std, two, sedan, fwd, front,96.5,169.1,66.0,51.0,2293.0, ohc, four,110.0, 2bbl, 3.15, 3.58,9.1, 100.0, 5500.0,25.0,31.0, 10345.0,1
65.0, mitsubishi, gas, std, four, sedan, fwd, front,96.3,178.5,71.2,54.1,2326.0, dohc, four,110.0, mpfi, 3.27, 3.54,17.4, 88.0, 5500.0,16.0,28.0, 10698.0,-1
?, porsche, gas, std, two, hardtop, rwd, rear,89.5,168.9,65.0,51.6,2756.0, ohcf, six,194.0, mpfi, 3.74, 2.9,9.5, 207.0, 5900.0,17.0,25.0, 34028.0,3
?, porsche, gas, std, two, hatchback, rwd, front,102.9,168.0,68.2,51.4,2644.0, ohc, four,222.0, mpfi, 3.74, 3.4,8.71, 110.0, 6000.0,22.0,23.0, 37028.0,3
125.0, mitsubishi, gas, std, four, sedan, fwd, front,96.3,172.4,65.4,51.6,2405.0, ohc, four,122.0, 2bbl, 3.35, 3.46,8.5, 88.0, 5000.0,25.0,32.0, 8189.0,1
65.0, toyota, gas, turbo, four, sedan, rwd, front,106.0,190.8,67.0,52.5,2668.0, ohc, four,130.0, mpfi, 3.58, 3.15,7.5, 88.0, 4200.0,23.0,34.0, 8948.0,-1
137.0, honda, gas, std, two, hatchback, fwd, front,86.6,144.6,63.9,50.8,1819.0, ohc, four,92.0, 1bbl, 2.91, 3.41,9.2, 76.0, 6000.0,31.0,38.0, 6855.0,2
122.0, mitsubishi, gas, std, two, sedan, rwd, front,92.5,186.6,66.6,55.6,2409.0, ohc, four,146.0, 2bbl, 3.19, 3.4,9.4, 116.0, 5250.0,18.0,47.0, 5389.0,2
?, toyota, gas, std, two, hatchback, fwd, rear,88.6,169.2,69.6,49.6,2771.0, ohc, four,161.0, mpfi, 3.59, 3.35,9.5, 200.0, 5500.0,20.0,18.0, 14869.0,3
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2941.0, ohc, four,132.0, mpfi, 3.62, 3.15,7.5, 162.0, 5400.0,24.0,22.0, 18420.0,-2
65.0, volvo, gas, std, four, hatchback, fwd, front,115.5,172.4,69.3,56.6,3770.0, ohc, six,110.0, idi, 3.31, 3.1,7.5, 92.0, 4200.0,17.0,28.0, 16515.0,-1
150.0, porsche, gas, std, two, hardtop, fwd, front,92.2,173.4,64.0,51.6,2629.0, ohc, two,198.0, mpfi, 3.43, 2.9,9.5, 90.0, 5000.0,22.0,19.0, 12629.0,3
137.0, volvo, gas, std, four, sedan, rwd, front,111.9,188.7,64.6,59.8,3417.0, ohc, four,174.0, idi, 3.34, 3.64,20.7, 155.0, 5200.0,30.0,23.0, 9279.0,-1
93.0, mercedes-benz, diesel, turbo, four, wagon, rwd, front,110.0,190.9,70.3,58.7,3750.0, ohc, five,183.0, idi, 3.58, 3.64,21.5, 123.0, 4350.0,22.0,25.0, 28248.0,-1
?, renault, gas, std, two, hatchback, fwd, front,96.1,176.8,66.6,50.5,2460.0, ohc, four,132.0, mpfi, 3.46, 3.9,8.7,?,?,23.0,31.0, 9895.0,2
95.0, volvo, gas, std, four, wagon, rwd, front,115.3,174.5,64.6,51.6,2326.0, ohc, six,182.0, 2bbl, 3.35, 3.4,8.5, 92.0, 4350.0,16.0,26.0, 34184.0,-1
74.0, volvo, gas, std, four, wagon, fwd, front,96.3,187.2,66.9,51.6,2665.0, ohcv, six,141.0, mpfi, 3.34, 3.54,11.3, 114.0, 5300.0,24.0,34.0, 13415.0,-1
?, porsche, gas, std, two, convertible, rwd, rear,89.5,168.9,65.0,51.6,2800.0, ohcf, six,194.0, mpfi, 3.74, 2.9,9.5, 207.0, 5900.0,17.0,25.0, 37028.0,3
?, audi, gas, std, four, wagon, fwd, front,105.8,192.7,71.4,55.7,2954.0, ohc, five,136.0, mpfi, 3.19, 3.4,8.5, 110.0, 5500.0,19.0,25.0, 18920.0,1
?, honda, gas, std, four, convertible, fwd, front,101.2,179.5,65.6,50.8,2597.0, dohc, four,117.0, 2bbl, 2.91, 3.4,10.4, 69.0, 5100.0,25.0,34.0, 16430.0,2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2912.0, ohc, four,130.0, mpfi, 3.78, 3.15,8.8, 162.0, 5100.0,24.0,28.0, 15985.0,-2
168.0, toyota, gas, std, two, sedan, rwd, front,94.5,168.7,64.0,52.6,2265.0, dohc, four,98.0, mpfi, 3.24, 3.08,9.4, 112.0, 6600.0,26.0,29.0, 9298.0,1
94.0, volkswagen, gas, std, four, sedan, fwd, front,97.3,171.7,65.5,55.7,2300.0, ohc, four,109.0, mpfi, 3.19, 3.4,10.0, 100.0, 5500.0,26.0,32.0, 9995.0,2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,2935.0, ohc, four,141.0, mpfi, 3.78, 3.15,9.5, 114.0, 5400.0,24.0,28.0, 15985.0,-2
103.0, volvo, gas, std, four, sedan, rwd, front,104.3,188.8,67.2,56.2,3031.0, ohc, four,130.0, mpfi, 3.62, 3.15,7.5, 114.0, 5100.0,24.0,28.0, 12940.0,-2
?, porsche, gas, std, two, hatchback, rwd, front,98.4,175.7,72.3,50.5,3366.0, dohcv, eight,203.0, mpfi, 3.94, 3.11,10.0, 288.0, 5750.0,17.0,28.0,?,1
161.0, peugot, gas, std, four, sedan, rwd, front,107.9,186.7,68.4,56.7,3075.0, l, four,120.0, mpfi, 3.46, 2.19,8.4, 95.0, 5000.0,19.0,24.0, 15580.0,0
